Filename,geomx,geomy,tcyc_mcs01_mcsw0 ,tcyc_mcs00_mcsw0,trcyc_mcsrd01_kcs0,trcyc_mcsrd00_kcs0,tacc_mcs01,tacc_mcs00,tacc_mcsrd01_kcs0,tacc_mcsrd00_kcs0
./ln05lpe_a00_mc_rf1r_hsr_lvt_768x69m4b1c1r2/ln05lpe_a00_mc_rf1r_hsr_lvt_768x69m4b1c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,93.96,30.44,0.4965,0.4905,0,0,0.43,0.4241,0,0
./ln05lpe_a00_mc_rf1r_hdrw_lvt_768x69m4b1c1r2/ln05lpe_a00_mc_rf1r_hdrw_lvt_768x69m4b1c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,78.408,31.752,1.0087,0.8848,0,0,0.7031,0.5867,0,0
./ln05lpe_a00_mc_ra1r_hsr_lvt_3072x137m4b4c1r2/ln05lpe_a00_mc_ra1r_hsr_lvt_3072x137m4b4c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,185.166,109.625,0.7182,0.6826,0,0,0.654,0.6179,0,0
./ln05lpe_a00_mc_rf1rw_hsr_lvt_1024x52m4b1c1r2/ln05lpe_a00_mc_rf1rw_hsr_lvt_1024x52m4b1c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,73.71,37.352,0.4953,0.4883,0,0,0.4157,0.4087,0,0
./ln05lpe_a00_mc_ra1rw_hsr_lvt_1024x52m4b2c1r2/ln05lpe_a00_mc_ra1rw_hsr_lvt_1024x52m4b2c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,77.112,44.501,0.6046,0.5839,0,0,0.4453,0.4256,0,0
./ln05lpe_a00_mc_ra1rw_hsr_lvt_512x72m4b2c1r2/ln05lpe_a00_mc_ra1rw_hsr_lvt_512x72m4b2c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,100.764,30.677,0.6592,0.6346,0,0,0.4739,0.45,0,0
./ln05lpe_a00_mc_rf1rw_hsr_lvt_512x72m4b1c1r2/ln05lpe_a00_mc_rf1rw_hsr_lvt_512x72m4b1c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,97.524,23.528,0.4536,0.4494,0,0,0.3929,0.3887,0,0
./ln05lpe_a00_mc_rf1r_hsr_lvt_128x128m2b1c1r2/ln05lpe_a00_mc_rf1r_hsr_lvt_128x128m2b1c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,87.966,18.344,0.4515,0.4483,0,0,0.3785,0.3753,0,0
./ln05lpe_a00_mc_rf1r_hsr_lvt_64x128m2b1c1r2/ln05lpe_a00_mc_rf1r_hsr_lvt_64x128m2b1c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,87.966,14.888,0.4481,0.4453,0,0,0.375,0.3723,0,0
./ln05lpe_a00_mc_rf1rw_hsr_lvt_128x128m2b1c1r2/ln05lpe_a00_mc_rf1rw_hsr_lvt_128x128m2b1c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,87.966,18.776,0.4515,0.4483,0,0,0.3785,0.3753,0,0
./ln05lpe_a00_mc_rf1rw_hsr_lvt_256x104m2b1c1r2/ln05lpe_a00_mc_rf1rw_hsr_lvt_256x104m2b1c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,73.71,25.688,0.4428,0.4387,0,0,0.3688,0.3647,0,0
./ln05lpe_a00_mc_rf1rw_hsr_lvt_256x64m2b1c1r2/ln05lpe_a00_mc_rf1rw_hsr_lvt_256x64m2b1c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,50.058,25.688,0.422,0.4178,0,0,0.3424,0.3383,0,0
./ln05lpe_a00_mc_rf1rw_hsr_lvt_32x152m2b1c1r2/ln05lpe_a00_mc_rf1rw_hsr_lvt_32x152m2b1c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,102.222,13.592,0.4631,0.4605,0,0,0.3903,0.3878,0,0
./ln05lpe_a00_mc_rf1rw_hsr_lvt_32x92m2b1c1r2/ln05lpe_a00_mc_rf1rw_hsr_lvt_32x92m2b1c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,66.582,13.592,0.4214,0.4188,0,0,0.3476,0.3452,0,0
./ln05lpe_a00_mc_rf1rw_hsr_lvt_32x94m2b1c1r2/ln05lpe_a00_mc_rf1rw_hsr_lvt_32x94m2b1c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,67.797,13.592,0.4227,0.4202,0,0,0.3491,0.3466,0,0
./ln05lpe_a00_mc_rf2r_hsr_lvt_512x12m1b8c1r2/ln05lpe_a00_mc_rf2r_hsr_lvt_512x12m1b8c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,25.92,87.647,0,0,0.7402,0.7331,0,0,0.3433,0.3367
./ln05lpe_a00_mc_rf2r_hsr_lvt_128x128m1b2c1r2/ln05lpe_a00_mc_rf2r_hsr_lvt_128x128m1b2c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,83.916,31.109,0,0,0.8214,0.8051,0,0,0.3619,0.3549
./ln05lpe_a00_mc_rf2r_hsr_lvt_16x128m1b2c1r2/ln05lpe_a00_mc_rf2r_hsr_lvt_16x128m1b2c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,83.916,19.013,0,0,0.7232,0.705,0,0,0.2885,0.2829
./ln05lpe_a00_mc_rf2r_hsr_lvt_256x128m1b4c1r2/ln05lpe_a00_mc_rf2r_hsr_lvt_256x128m1b4c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,83.916,48.497,0,0,0.9661,0.9405,0,0,0.3816,0.3741
./ln05lpe_a00_mc_rf2r_hsr_lvt_256x68m1b4c1r2/ln05lpe_a00_mc_rf2r_hsr_lvt_256x68m1b4c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,53.784,48.497,0,0,0.8222,0.7957,0,0,0.3363,0.3297
./ln05lpe_a00_mc_rf2r_hsr_lvt_320x128m1b8c1r2/ln05lpe_a00_mc_rf2r_hsr_lvt_320x128m1b8c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,83.916,66.911,0,0,0.9011,0.8822,0,0,0.3775,0.3701
./ln05lpe_a00_mc_rf2r_hsr_lvt_32x128m1b2c1r2/ln05lpe_a00_mc_rf2r_hsr_lvt_32x128m1b2c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,83.916,20.741,0,0,0.7382,0.7192,0,0,0.296,0.2902
./ln05lpe_a00_mc_rf2r_hsr_lvt_64x128m1b2c1r2/ln05lpe_a00_mc_rf2r_hsr_lvt_64x128m1b2c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,83.916,24.197,0,0,0.7711,0.7547,0,0,0.3198,0.3136
./ln05lpe_a00_mc_rf2r_hsr_lvt_64x132m1b2c1r2/ln05lpe_a00_mc_rf2r_hsr_lvt_64x132m1b2c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,85.86,24.197,0,0,0.7742,0.7579,0,0,0.3229,0.3166
./ln05lpe_a00_mc_rf2r_hsr_lvt_256x64m1b4c1r2/ln05lpe_a00_mc_rf2r_hsr_lvt_256x64m1b4c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,51.84,48.497,0,0,0.8208,0.7948,0,0,0.3336,0.3271
./ln05lpe_a00_mc_rf2r_hsr_lvt_256x128m1b8c1r2/ln05lpe_a00_mc_rf2r_hsr_lvt_256x128m1b8c1r2_sspg_sigrcmax_0p6750v_0p6750v_m40c.dat,83.916,59.999,0,0,0.8521,0.8352,0,0,0.3629,0.3559
